Metric,Value
NbSpringXMLFiles,0.0
NbEmptySpringXMLFiles,0.0
NbClasses,0.0
NbFailedClasses,0.0
NbSpecs,0.0
NbCompRoles,0.0
NbConfigs,0.0
NbCompClasses,0.0
NbClassMultiRole,0.0
NbAssms,0.0
NbCompInsts,0.0
NbSpecEqualConfigs,0.0
NbInterfaces,0.0
NbSplitInterface,0.0
NbAbstractedInterface,0.0
NbConnections,0.0
NbUnconnectedArch,0.0
