;project_name;project_path;nb_XML_files_beans_config;nb_Java_files_beans_config;nb_total_files_beans_config;nb_XML_beans;nb_Java_beans;nb_total_beans;is_autowired;nb_Java_files;LoC_Java;stargazers_count;watchers_count;forks_count;open_issues_count;score;size;created_at;nb_components_graph
382;shuaiweili/Dubbo-Zookeeper-Netty-SpringMVC;/users/ssr-lgi2p/qperez/mining/repositories/shuaiweili/Dubbo-Zookeeper-Netty-SpringMVC;1;0;1;1;0;1;False;7;221;211;211;185;0;59.0052;163;2015-05-11T10:17:17Z;2
390;snailxr/quartz-spring_demo;/users/ssr-lgi2p/qperez/mining/repositories/snailxr/quartz-spring_demo;2;0;2;9;0;9;False;10;568;122;122;123;2;46.34948;194;2014-08-08T06:19:17Z;5
394;songjhh/songjhh_blog;/users/ssr-lgi2p/qperez/mining/repositories/songjhh/songjhh_blog;4;0;4;29;0;29;False;37;3333;117;117;67;0;42.117348;16500;2017-02-04T04:39:38Z;13
520;stormpath/spring-mvc-rest-exhandler;/users/ssr-lgi2p/qperez/mining/repositories/stormpath/spring-mvc-rest-exhandler;1;0;1;9;0;9;False;11;783;189;189;130;1;49.2726;35;2012-04-24T22:35:11Z;2
528;tangyanbo/springmore;/users/ssr-lgi2p/qperez/mining/repositories/tangyanbo/springmore;1;0;1;1;0;1;False;131;8087;143;143;159;0;54.47548;7851;2015-06-10T07:08:32Z;0
540;uncodecn/uncode-dal-all;/users/ssr-lgi2p/qperez/mining/repositories/uncodecn/uncode-dal-all;1;0;1;2;0;2;False;80;8127;129;129;108;1;9.824517;141;2014-12-18T09:45:34Z;0
542;uptop/JavaWebSocket;/users/ssr-lgi2p/qperez/mining/repositories/uptop/JavaWebSocket;1;0;1;1;0;1;False;2;79;227;227;78;1;49.760296;6;2017-06-12T07:33:34Z;0
555;WAng91An/ManagementSystem;/users/ssr-lgi2p/qperez/mining/repositories/WAng91An/ManagementSystem;2;0;2;6;0;6;False;13;1036;216;216;114;1;45.04524;15378;2018-01-09T01:58:29Z;7
558;wanliyang1990/AppServiceRestFul;/users/ssr-lgi2p/qperez/mining/repositories/wanliyang1990/AppServiceRestFul;10;0;10;43;0;43;False;90;4862;140;140;41;0;15.323;28080;2017-10-12T01:44:38Z;10
563;white-cat/jeeweb;/users/ssr-lgi2p/qperez/mining/repositories/white-cat/jeeweb;7;0;7;77;0;77;False;401;25520;147;147;83;1;18.555378;6697;2017-07-06T03:47:17Z;92
564;white-cat/jeeweb-mybatis;/users/ssr-lgi2p/qperez/mining/repositories/white-cat/jeeweb-mybatis;7;0;7;81;0;81;False;399;24664;173;173;96;5;19.171352;8909;2017-07-24T09:26:18Z;87
602;ykameshrao/spring-hibernate-springdata-springmvc-maven-project-framework;/users/ssr-lgi2p/qperez/mining/repositories/ykameshrao/spring-hibernate-springdata-springmvc-maven-project-framework;8;0;8;28;0;28;False;68;2253;266;266;196;2;62.93678;434;2012-07-07T13:56:43Z;16
603;youseries/uflo;/users/ssr-lgi2p/qperez/mining/repositories/youseries/uflo;2;0;2;48;0;48;False;293;14784;283;283;117;14;18.155304;3008;2017-06-26T11:25:56Z;0
604;youseries/ureport;/users/ssr-lgi2p/qperez/mining/repositories/youseries/ureport;3;0;3;101;0;101;False;469;30113;633;633;298;56;40.4001;99475;2017-06-05T07:48:31Z;0
606;youzan/bugCatcher;/users/ssr-lgi2p/qperez/mining/repositories/youzan/bugCatcher;2;0;2;9;0;9;False;34;1471;358;358;165;0;37.231396;861;2017-03-31T10:34:29Z;21
625;ZHENFENG13/ssm-demo;/users/ssr-lgi2p/qperez/mining/repositories/ZHENFENG13/ssm-demo;8;0;8;21;0;21;False;62;2515;924;924;494;11;40.34707;33988;2017-02-23T08:13:00Z;17
627;ZhibingXie/SpringMVC-Spring-MyBatis;/users/ssr-lgi2p/qperez/mining/repositories/ZhibingXie/SpringMVC-Spring-MyBatis;2;0;2;8;0;8;False;6;150;566;566;616;3;76.37324;1380;2014-01-19T05:21:12Z;4
636;ZzXxL1994/e3mall;/users/ssr-lgi2p/qperez/mining/repositories/ZzXxL1994/e3mall;27;0;27;105;0;105;False;93;9452;127;127;84;2;25.830837;5502;2017-12-24T15:11:29Z;52
